Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
PWR,Quanta Services Inc,Industrial Goods,General Contractors,United States of America,0.002566,0.075881,83.17
PZN,Pzena Investment Management Inc,Financial,Asset Management,United States of America,0.033333,0.381383,10.44
PZZA,Papa John's International Inc,Services,Specialty Eateries,United States of America,0.010888,0.749513,82.62
QCRH,QCR Holdings Inc,Financial,Regional - Southwest  Banks,United States of America,0.005614,0.064877,44.07
QEP,QEP Resources Inc,Basic Materials,Oil & Gas Pipelines,United States of America,0.014706,1.5,4.27
QRTEA,Liberty Interactive Corp,Services,Catalog & Mail Order Houses,United States of America,0.256849,1.040412,11.6
QTS,QTS Realty Trust Inc,Financial,REIT - Industrial,United States of America,0.032913,9.569909,59.02
RBB,RBB Bancorp,Financial,Regional - Mid-Atlantic Banks,United States of America,0.016035,0.399872,20.81
RBC,Regal Beloit Corp,Industrial Goods,Diversified Machinery,United States of America,0.008825,0.265738,138.64
RBCAA,Republic Bancorp Inc,Financial,Regional - Southeast Banks,United States of America,0.026543,0.27874,43.72
RBNC,Reliant Bancorp Inc,Financial,Regional - Southeast Banks,United States of America,0.017722,0.259361,24.43
RC,Sutherland Asset Management Corp,Financial,REIT - Diversified,United States of America,0.097671,1.4766,13.68
RCII,Rent-A-Center Inc,Services,Rental & Leasing Services,United States of America,0.027415,0.303289,54.88
RCKY,Rocky Brands Inc,Consumer Goods,Textile - Apparel Footwear & Accessories,United States of America,0.012573,0.251439,44.57
RDN,Radian Group Inc,Financial,Property & Casualty Insurance,United States of America,0.023764,0.24759,21.36
REG,Regency Centers Corp,Financial,REIT - Retail,United States of America,0.042289,12.877951,57.69
REXR,Rexford Industrial Realty Inc,Financial,REIT - Industrial,United States of America,0.018459,1.479832,47.55
REYN,Reynolds Consumer Products Inc,Consumer Goods,Paper & Paper Products,United States of America,0.029894,0.341598,27.92
RF,Regions Financial Corp,Financial,Regional - Southeast Banks,United States of America,0.030602,0.638026,20.91
RGA,Reinsurance Group of America Inc,Financial,Life Insurance,United States of America,0.022668,0.438554,125.49
RGR,Sturm Ruger & Company Inc,Industrial Goods,Aerospace/Defense Products & Services,United States of America,0.099908,1.259939,66.33
RHI,Robert Half International Inc,Services,Staffing & Outsourcing Services,United States of America,0.01847,0.509132,76.87
RILY,B. Riley Financial Inc,Financial,Asset Management,United States of America,0.018866,0.231981,56.64
RIVE,Riverview Financial Corp,Financial,Regional - Northeast Banks,United States of America,0.03212,0.584241,9.34
RJF,Raymond James Financial Inc,Financial,Investment Brokerage - Regional,United States of America,0.012855,0.242459,117.57
RLI,RLI Corp,Financial,Property & Casualty Insurance,United States of America,0.01854,0.559586,109.11
RM,Regional Management Corp,Financial,Credit Services,United States of America,0.011338,0.082155,36.65
RMAX,Re/Max Holdings Inc,Financial,Property Management,United States of America,0.023514,0.816883,38.86
